"SourceDeck","SlideNumber","SlideTitle","TextPreview","KeepMergeRewriteRetire","TopicArea","ModuleTarget","Notes"
"DSH Code_Conduct_.pptx","8","TE","TE | A | M | W | O | R | K | Working","","","",""
"DSH Code_Conduct_.pptx","9","Employee","Employee | Responsibility | At | Destiny Springs | , | we | maintain | the","","","",""
"DSH Code_Conduct_.pptx","10","Reporting","Reporting | Compliance | Issues | Reporting | At | Destiny Springs | , | we","","","",""
"DSH Code_Conduct_.pptx","11","Investigation","Investigation | and | Resolution | Q: | A: | Non- | Retaliation | Disciplinary","","","",""
"DSH Code_Conduct_.pptx","12","SERVICE","SERVICE | BEHAVIOR | STANDARDS | I | treat | everyone | as | the","","","",""
"DSH Code_Conduct_.pptx","13","Safety,","Safety, | Health | and | the | Environment | At | Destiny Springs | ,","","","",""
"DSH Code_Conduct_.pptx","14","COM","COM | P | A | S | S | I | O | N","","","",""
"DSH Code_Conduct_.pptx","15","Patient","Patient | Rights | Admissions, | Transfers | and | Continuity | of | Care","","","",""
"DSH Code_Conduct_.pptx","16","T","T | R | U | S | T | Delivering | on | promises","","","",""
"DSH Code_Conduct_.pptx","17","Quality","Quality | of | Care | At | Destiny Springs | , | we | strive","","","",""
"DSH Code_Conduct_.pptx","18","Confidentiality","Confidentiality | and | Privacy | Q: | A: | At | Destiny Springs | ,","","","",""
"DSH Code_Conduct_.pptx","19","I","I | N | T | E | G | RI | T | Y","","","",""
"DSH Code_Conduct_.pptx","20","Conflicts","Conflicts | of | Interest | At | Destiny Springs | , | we | disclose","","","",""
"DSH Code_Conduct_.pptx","21","Gifts","Gifts | and | Entertainment | At | Destiny Springs | , | we | do","","","",""
"DSH Code_Conduct_.pptx","22","Documentation,","Documentation, | Retention | and | Disposal | Coding | and | Billing | At","","","",""
"DSH Code_Conduct_.pptx","23","Physician","Physician | Relations | Media | Communications | Customer | and | Business | Associate","","","",""
"DSH Code_Conduct_.pptx","24","Have","Have | Questions? | Speak | Up! | Scan | to | report | concerns","","","",""
